title,cast,details,num_seasons,user_rating,num_ratings,keywords,runtime,synopsis
A Bit of Fry and Laurie,"['Stephen Fry', 'Hugh Laurie', 'Deborah Norton']","['UK', 'English', 'British Broadcasting Corporation (BBC)', 'Color']",4,8.3,8398.0,"['alternative comedy', 'social satire', 'singing', 'song', 'musician', 'comedy']",30 min,"As the title suggests, ""A Bit of Fry and Laurie"" is less of a specific format than a 'coat-hanger' for short sketches, starring the comical duo in various, recurring or unique roles: Stephen Fry, the sophisticated giant who usually plays the smug one, and comparatively small Hugh Laurie, usually playing the patsy."
A Different World,"['Bill Cosby', 'Lisa Bonet', 'Kadeem Hardison', 'Jasmine Guy']","['USA', 'English', 'Universal Studios - 100 Universal City Plaza, Universal City, California, USA', 'Bill Cosby', 'Stereo', 'Color']",6,6.9,5006.0,"['sitcom', 'historically black college', 'african american', 'university', 'college', 'comedy']",30 min,A group of students at a historically Black university struggle to make it through college.
A Discovery of Witches,"['Matthew Goode', 'Teresa Palmer', 'Valarie Pettiford']","['UK', 'English', 'University of Oxford, Oxford, Oxfordshire, England, UK', 'Bad Wolf', 'Color']",1,8.2,17317.0,"['witch', 'vampire', 'magic', 'propaganda', 'russophobia', 'drama', 'fantasy', 'romance']",60 min,"In a world where witches, vampires and daemons live discreetly among humans, Diana Bishop is the last in one long line of distinguished witches. Unwilling to embrace her heritage she has immersed herself in her career as a historian. Her particular interest is alchemy and she visits Oxford to research some of Elias Ashmole's papers. She requests Ashmole 782 and as soon as she receives it she knows there is something uncanny about it; when she opens it she is shocked. She learns that 782 has been presumed lost for a very long time and that each species of Creature desires it. She is besieged and threatened and knows that, to protect herself, she must uncover all the mysteries of 782. She encounters the enigmatic vampire, Matthew Clairmont, who offers to help her; their mutual attraction is immediate, undeniable and inexplicable because they both know that witches and vampires are not supposed to trust each other. Diana makes her choice and accepts Matthew's help. This precipitates them..."
A Gifted Man ,"['Susannah Grant', 'Patrick Wilson', 'Jennifer Ehle', 'Margo Martindale']","['USA', 'English', 'Silvercup Studios East, Long Island City, Queens, New York City, New York, USA', 'Baer Bones', 'Dolby Digital', 'Color']",2,7.1,7115.0,"['doctor', 'hospital', 'nurse', 'medicine', 'latex gloves', 'drama', 'fantasy']",0,"Michael Holt is a successful doctor who has a thriving practice. One day he runs into his ex-wife Anna, also a doctor. They spend some time together. He later learns that she died before he met her. He goes to her memorial and learns she was working in an inner-city clinic, and when he goes there, he can't help but assist. Before long, people from the clinic come to see him. He continues to see Anna, who tries to get him to do good. He decides to work at the clinic as well as at his practice."
A Haunting,"['Anthony D. Call', 'Kelley Davis', 'Scott Rollins']","['New Dominion Pictures', 'USA', 'English', 'Hampton Roads, Virginia, USA', 'New Dominion Pictures', 'Color']",10,8.0,2683.0,"['paranormal phenomena', 'horror host', 'male horror host', 'usa horror host', 'usa male horror host', 'documentary', 'drama', 'history', 'horror', 'mystery', 'talk-show', 'thriller']",0,"An American paranormal anthology previewing stories told by the victims. Victims tell their terrifing encounters with the paranormal. This show contains narrations, frightening reanactments, & religious content."
A Million Little Things,"['D.J. Nash', 'David Giuntoli', 'Romany Malco', 'Allison Miller']","['Disney ABC Press', 'USA', 'English', 'Vancouver, British Columbia, Canada', 'Fee-Fi-Fo Films', 'Stereo', 'Color']",2,7.9,5080.0,"['suicide', 'friendship', 'love', 'family problems', 'friend', 'comedy', 'drama', 'mystery', 'romance']",43 min,A group of friends become motivated to living fuller lives after the unexpected death of a close friend.
A Pup Named Scooby-Doo,"['Mark L. Taylor', 'Don Messick', 'Casey Kasem']","['Boomerang', 'USA', 'English', 'Hanna-Barbera Productions', 'Mono', 'Color']",4,6.8,4087.0,"['1980s', '1990s', 'child protagonist', 'child gang', 'kid gang', 'animation', 'comedy', 'family', 'mystery']",30 min,"A pre-teen version of Scooby Doo, with a pint-sized version of the title character."
A Shot at Love With Tila Tequila,"['Riley McCormick', 'SallyAnn Salsano', 'Tila Tequila', 'Amanda Ireton', 'Raye Richards']","['MTV', 'USA', 'English', '495 Productions', 'Color']",2,3.4,1878.0,"['bisexual', 'game-show', 'reality-tv', 'romance']",0,A dating elimination show where contestants try to win the heart of Tila Tequila.
A to Z,"['Ben Queen', 'Ben Feldman', 'Cristin Milioti', 'Henry Zebrowski']","['USA', 'English', 'Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA', 'BQ Productions', 'Stereo', 'Color']",1,6.7,5381.0,"['comedy', 'romance']",24 min,"A chronicle of Andrew and Zelda's relationship, which lasts for eight months, three weeks, five days, and one hour."
A Touch of Frost,"['David Jason', 'Bruce Alexander', 'John Lyons']","['UK', 'English', 'Carlton Lanes Shopping Centre, Castleford, West Yorkshire, England, UK', 'ITV Productions', 'Dolby', 'Color']",15,7.9,5531.0,"['cop', 'police', 'unorthodox', 'gritty', '1990s', 'crime', 'drama', 'mystery']",105 min,"DI Frost is an old-school no-nonsense copper who believes in traditional policing methods. Assisted by several officers including the ever-able DS Toolan, Frost uses what he knows about the street to find solutions to complex crimes as a member of the Denton CID. His home life is complex as he cares for his wife until her death and then leads a quiet bachelor's life, with only the occasional attempt at a relationship with another woman. His daily nemesis however is the Station's commander, Supt. Mullett, who is constantly worrying about budgets, staffing levels and crime statistics. He doesn't appreciate DI Frost's rough and ready manner, which doesn't stop him from trotting him out - with his George Cross, Britain's highest civilian honour for gallantry - when it suits him."
